schedule_mode,overlap_fraction,overlap_mode,n,mean_accuracy,mean_accuracy_percent,std_accuracy,std_accuracy_percent,mean_delta_vs_strict,mean_delta_vs_strict_percent,std_delta_vs_strict,std_delta_vs_strict_percent,improved_reps
event_density,0.0,none,4,0.9793499999999999,97.93499999999999,0.00045092497528228896,0.04509249752822889,0.0,0.0,0.0,0.0,0
event_density,0.3,random,4,0.978375,97.8375,0.0005560275772537328,0.055602757725373285,-0.0009749999999999759,-0.09749999999999759,0.0009032349269892838,0.09032349269892838,0
event_density,0.3,symmetric,4,0.97985,97.985,0.0010630145812734505,0.10630145812734505,0.0005000000000000282,0.05000000000000282,0.00133416640641265,0.133416640641265,2
random_boundary,0.0,none,4,0.976475,97.6475,0.0027072433704169708,0.27072433704169707,0.0,0.0,0.0,0.0,0
random_boundary,0.3,random,4,0.97575,97.575,0.003284813541131357,0.32848135411313567,-0.0007249999999999757,-0.07249999999999757,0.0006130524719249799,0.06130524719249799,0
random_boundary,0.3,symmetric,4,0.97725,97.725,0.003113947120081951,0.31139471200819513,0.0007750000000000257,0.07750000000000257,0.0007932002689527209,0.07932002689527208,3
saccade,0.0,none,4,0.980425,98.0425,0.0007274384280932024,0.07274384280932024,0.0,0.0,0.0,0.0,0
saccade,0.3,random,4,0.9786,97.86,0.000496655480858368,0.0496655480858368,-0.0018249999999999933,-0.18249999999999933,0.0003593976442141964,0.03593976442141964,0
saccade,0.3,symmetric,4,0.980175,98.0175,0.0008220908303425778,0.08220908303425778,-0.0002500000000000002,-0.025000000000000022,0.0007505553499465319,0.07505553499465319,2
uniform,0.0,none,4,0.980375,98.0375,0.0008381527307120264,0.08381527307120264,0.0,0.0,0.0,0.0,0
uniform,0.3,random,4,0.9788,97.88,0.0005354126134736645,0.053541261347366455,-0.001574999999999993,-0.1574999999999993,0.0004500000000000039,0.04500000000000039,0
uniform,0.3,symmetric,4,0.981025,98.1025,0.0009464847243000313,0.09464847243000313,0.0006499999999999839,0.06499999999999839,0.0004434711565216786,0.04434711565216786,4
