overlap_fraction,n,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_delta_vs_strict,std_delta_vs_strict
0.0,4,0.980375,0.0008381527307120263,0.9797,0.9816,0.0,0.0
0.1,4,0.9799500000000001,0.0009183318209303816,0.979,0.9812,-0.0004250000000000087,0.0002061552812809052
0.15,4,0.9803,0.0007483314773547553,0.9795,0.9813,-7.50000000000195e-05,0.00022173557826084766
0.2,4,0.980225,0.0006652067347824831,0.9794,0.981,-0.00014999999999998348,0.000387298334620785
0.3,4,0.9810249999999999,0.0009464847243000313,0.9798,0.9821,0.0006499999999999839,0.0004434711565216786
