overlap_fraction,n,mean_delta,mean_delta_percentage_points,std_delta,std_delta_percentage_points,improved_reps,non_improved_reps,ci95_delta_low,ci95_delta_high,ci95_delta_low_percentage_points,ci95_delta_high_percentage_points
0.1,4,-0.0004250000000000087,-0.04250000000000087,0.0002061552812809052,0.020615528128090522,0,4,-0.0007530390251456545,-9.696097485436292e-05,-0.07530390251456545,-0.009696097485436293
0.15,4,-7.50000000000195e-05,-0.0075000000000019496,0.00022173557826084766,0.022173557826084767,1,3,-0.0004278307520469803,0.0002778307520469413,-0.042783075204698026,0.027783075204694127
0.2,4,-0.00014999999999998348,-0.014999999999998348,0.000387298334620785,0.038729833462078506,1,3,-0.0007662780179102729,0.0004662780179103059,-0.0766278017910273,0.04662780179103059
0.3,4,0.0006499999999999839,0.06499999999999839,0.0004434711565216786,0.04434711565216786,4,0,-5.566150409391107e-05,0.0013556615040938788,-0.005566150409391107,0.13556615040938788
